# ROAD NETWORK GRAPH - TIRANA, ALBANIA - NJESIA 7 
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
source,target,weight
4664924384,1831358952,18.94
1831358952,4664924384,18.94
1831358952,11135848454,7.02
11135848454,1831358952,7.02
11135848454,1843574898,29.33
1843574898,11135848454,29.33
1843574898,11135848447,12.96
11135848447,1843574898,12.96
11135848447,10922895908,20.46
10922895908,11135848447,20.46
10922895908,12173793268,32.15
12173793268,10922895908,32.15
12173793268,1843574806,2.34
1843574806,12173793268,2.34
1843574806,4664924381,9.93
4664924381,1843574806,9.93
4664924381,1843574918,30.36
1843574918,4664924381,30.36
1843574918,1831358944,36.71
1831358944,1843574918,36.71
1831358944,6177328092,10.19
6177328092,1831358944,10.19
6177328092,6177290821,10.56
6177290821,6177328092,10.56
6177290821,6938359656,26.87
6938359656,6177290821,26.87
6938359656,2863652397,9.45
2863652397,6938359656,9.45
2863652397,11072021952,9.82
11072021952,2863652397,9.82
11072021952,6177328093,46.79
6177328093,11072021952,46.79
6177328093,11072010610,84.84
11072010610,6177328093,84.84
11072010610,4549222951,5.59
4549222951,11072010610,5.59
1831358952,6938359647,13.47
6938359647,1831358952,13.47
6938359647,1843574830,17.34
1843574830,6938359647,17.34
1843574830,4664924430,19.58
4664924430,1843574830,19.58
4664924430,10937735303,31.66
10937735303,4664924430,31.66
10937735303,1843575035,20.76
1843575035,10937735303,20.76
1843575035,4664924428,18.27
4664924428,1843575035,18.27
4664924428,6938359638,8.27
6938359638,4664924428,8.27
6938359638,10925292454,50.66
10925292454,6938359638,50.66
10925292454,4664920788,2.87
4664920788,10925292454,2.87
4664920788,6177316967,30.24
6177316967,4664920788,30.24
6177316967,4664924182,26.55
4664924182,6177316967,26.55
4664924182,4664924178,8.46
4664924178,4664924182,8.46
4664924178,10925292450,20.72
10925292450,4664924178,20.72
10925292450,11072104917,1.99
11072104917,10925292450,1.99
11072104917,1831358954,7.61
1831358954,11072104917,7.61
1840234622,10992818967,67.30
10992818967,1840234330,7.18
1840234580,7176341245,6.51
7176341245,1840234609,2.48
1840234609,7176341244,3.38
7176341244,7176341243,25.66
7176341243,1840234402,6.25
1840234402,7176341242,9.18
7176341242,4670757536,5.02
4670757536,4670757533,12.52
4670757533,4670757532,7.21
1840234607,10992818966,67.87
10992818966,1840234570,7.66
1840234404,7176341240,57.08
7176341240,1840234545,6.78
1840234545,11458651353,7.77
11458651353,11458651354,7.87
11458651354,1840234333,10.20
1840234333,7176341241,3.97
7176341241,342241051,4.66
1840234457,10992818964,65.82
10992818964,1840234392,7.54
1840234356,10992818965,68.60
10992818965,1840234310,6.69
1840234580,6887081103,48.53
6887081103,1840234300,50.13
1840234300,1840234622,42.30
1840234622,6887081102,23.19
6887081102,1840234570,22.20
1840234570,1840234356,26.53
1840234356,6886666619,18.84
6886666619,1840234401,19.10
1840234401,6886666620,16.47
6886666620,6887081100,9.83
6887081100,1840234457,10.68
1840234457,6887081099,21.17
6887081099,6886666621,21.46
6886666621,6887081097,11.48
6887081097,6887081098,11.31
6887081098,10922508789,16.00
