# ROAD NETWORK GRAPH - SHKODER, ALBANIA
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
# V = 1,744; E = 3,523 
source,target,weight
283588374,3311798710,16.28
283588374,3311798416,48.00
3311798416,283588374,48.00
3311798416,3311798242,38.45
3311798242,3311798416,38.45
3311798242,3368091377,7.28
3368091377,3311798242,7.28
3368091377,283588376,19.93
283588376,3368091377,19.93
283588376,616450170,76.61
616450170,283588376,76.61
616450170,5050638708,54.87
5050638708,616450170,54.87
5050638708,899050475,9.54
899050475,5050638708,9.54
2418334807,7204801449,10.31
7204801449,2418334802,11.06
2418334802,2418334794,13.29
3208852908,3253478151,15.13
3253478151,2418334797,10.78
2418334797,3253478150,9.74
3253478150,2418334798,8.92
2418334798,3253478154,9.67
3253478154,3738764487,5.10
3738764487,2418334804,4.13
3311797964,2418355561,30.69
410112808,5783448349,12.93
5783448349,410112808,12.93
5783448349,5569972553,5.63
5569972553,5783448349,5.63
5569972553,6868298591,22.76
6868298591,5569972553,22.76
6868298591,5569972529,14.46
5569972529,6868298591,14.46
5569972529,5569972528,18.62
5569972528,5569972529,18.62
5569972528,848503610,15.53
848503610,5569972528,15.53
848503610,3371873871,11.72
3371873871,848503610,11.72
3371873871,4524339681,6.65
4524339681,3371873871,6.65
4524339681,3371873884,5.65
3371873884,4524339681,5.65
3371873884,4524339683,8.06
4524339683,3371873884,8.06
4524339683,3371873915,9.38
3371873915,4524339683,9.38
3371873915,3757875589,23.10
3757875589,3371873915,23.10
3757875589,7106723590,3.26
7106723590,3757875589,3.26
7106723590,7252656112,6.08
7252656112,7106723590,6.08
3208852934,12821590677,6.64
12821590677,3208852938,50.70
3208852938,3311799137,29.73
3311799137,3311799322,35.27
3311799322,3975533450,73.61
3975533450,3311799520,3.09
3311799520,3208853064,11.73
3208853064,4000891411,5.63
4000891411,3250914294,2.73
3250914294,4000891412,3.49
4000891412,3208853067,4.11
929137991,929137981,3.64
929137981,929137991,3.64
929137981,3315853948,5.59
3315853948,929137981,5.59
3315853948,5763141550,5.11
5763141550,3315853948,5.11
5763141550,929137980,5.78
929137980,5763141550,5.78
929137980,3315853947,4.19
3315853947,929137980,4.19
3315853947,3315853946,4.96
3315853946,3315853947,4.96
3315853946,6126268298,4.92
6126268298,3315853946,4.92
6126268298,929137990,3.45
929137990,6126268298,3.45
929137990,6126268299,3.52
6126268299,929137990,3.52
6126268299,410108824,5.16
410108824,6126268299,5.16
410108824,5763141448,3.91
5763141448,410108824,3.91
5763141448,3315853508,7.11
3315853508,5763141448,7.11
3315853508,1841779131,12.77
1841779131,3315853508,12.77
1841779131,5938816031,13.08
5938816031,1841779131,13.08
5938816031,1841779127,11.82
1841779127,5938816031,11.82
1841779127,3315853507,14.27
3315853507,1841779127,14.27
3315853507,3208853078,16.41
3208853078,3315853507,16.41
3208853078,6126268306,15.54
6126268306,3208853078,15.54
6126268306,1841779126,13.04
1841779126,6126268306,13.04
1841779126,6126268305,21.94
6126268305,1841779126,21.94
6126268305,3208853077,22.80
3208853077,6126268305,22.80
3208853077,1841779114,20.02
1841779114,3208853077,20.02
1841779114,3208853072,50.82
3208853072,1841779114,50.82
3208853072,3408790315,27.84
3408790315,3208853072,27.84
3408790315,1841779105,16.70
1841779105,3408790315,16.70
1841779105,5761683525,13.05
5761683525,1841779105,13.05
5761683525,5938810781,14.20
5938810781,5761683525,14.20
5938810781,5761683532,9.91
5761683532,5938810781,9.91
5761683532,3208853063,22.42
3208853063,5761683532,22.42
3208853063,1841779100,56.90
1841779100,3208853063,56.90
1841779100,5783446841,22.49
5783446841,1841779100,22.49
5783446841,1841779097,8.70
1841779097,5783446841,8.70
1841779097,5765357131,14.24
5765357131,1841779097,14.24
5765357131,7090757429,11.93
7090757429,5765357131,11.93
7090757429,5761683544,3.92
5761683544,7090757429,3.92
5761683544,1841779095,14.31
1841779095,5761683544,14.31
3208852895,5190437764,56.11
5190437764,3208852895,56.11
5190437764,5052276990,3.71
5052276990,5190437764,3.71
5052276990,3208852891,8.12
3208852891,5052276990,8.12
3208852919,3757875588,65.01
3757875588,3208852937,8.38
2418334807,7204801448,6.56
7204801448,3253478156,5.00
3253478156,2418334806,4.95
2418334806,3253478155,4.40
3253478155,1841779082,6.51
3208852943,3208852941,18.21
3208852941,3208852943,18.21
3208852941,3208852940,28.85
3208852940,3208852941,28.85
3208852917,5767451781,35.43
5767451781,3208852917,35.43
5767451781,3408954074,6.50
3408954074,5767451781,6.50
3408954074,5765356374,6.74
5765356374,3408954074,6.74
894116007,12034131908,3.67
12034131908,894116007,3.67
12034131908,3250914267,3.01
3250914267,12034131908,3.01
3250914267,3250914265,3.50
3250914265,3250914267,3.50
3250914265,3250914264,3.50
3250914264,3250914265,3.50
3250914264,894115989,3.50
894115989,3250914264,3.50
894115989,7920674669,0.52
7920674669,894115989,0.52
7920674669,3405456138,2.36
3405456138,7920674669,2.36
3405456138,3250914266,2.89
3250914266,3405456138,2.89
3250914266,3250914268,2.88
3250914268,3250914266,2.88
3250914268,3250914276,2.89
3250914276,3250914268,2.89
3250914276,894116005,2.88
894116005,3250914276,2.88
3208853067,1841779106,48.73
3250914293,5208133631,4.97
5208133631,5208133634,33.33
1841779106,3738789760,33.83
3738789760,1841779106,33.83
3738789760,3738789756,34.54
3738789756,3738789760,34.54
3738789756,616450189,39.59
616450189,3738789756,39.59
616450189,3250914293,36.46
3250914293,616450189,36.46
3250914293,4531679701,14.89
4531679701,3250914293,14.89
4531679701,5208133630,26.53
5208133630,4531679701,26.53
5208133630,3758772362,22.24
3758772362,5208133630,22.24
3758772362,12034131907,2.91
12034131907,3758772362,2.91
12034131907,894116007,2.76
894116007,12034131907,2.76
3738764476,3304481741,40.83
3304481741,3738764476,40.83
3304481741,3757875576,3.20
3757875576,3304481741,3.20
3757875576,3159229752,55.17
3159229752,3757875576,55.17
3159229752,616449887,46.84
616449887,3159229752,46.84
616449887,3159229723,1.17
3159229723,616449887,1.17
3159229723,616449889,86.57
616449889,3159229723,86.57
616449889,616449884,18.46
616449884,616449889,18.46
616449884,7090724990,54.61
7090724990,616449884,54.61
7090724990,4893255724,38.24
4893255724,7090724990,38.24
4893255724,4889315698,26.38
4889315698,4893255724,26.38
4889315698,3757875547,2.47
3757875547,4889315698,2.47
3311799327,3311799341,5.06
3311799341,3311799327,5.06
3311799341,3311799359,5.66
3311799359,3311799341,5.66
3311799359,3311799371,5.26
3311799371,3311799359,5.26
3311799371,3311799385,4.85
3311799385,3311799371,4.85
3311799385,3311799399,4.17
3311799399,3311799385,4.17
3311798833,3311798710,35.65
3311798710,3311798833,35.65
3311798660,3311798416,38.23
3311798416,3311798660,38.23
3311798242,5928660400,17.19
5928660400,3311798242,17.19
5928660400,5928660399,6.39
5928660399,5928660400,6.39
5928660399,4531762587,10.48
4531762587,5928660399,10.48
4531762587,3774830567,25.09
3774830567,4531762587,25.09
3774830567,5208133647,4.59
5208133647,3774830567,4.59
5208133647,3311798683,4.83
3311798683,5208133647,4.83
4713028392,5208133665,0.62
5208133665,4713028392,0.62
5208133665,3774830565,0.60
3774830565,5208133665,0.60
3774830565,3311798203,3.90
3311798203,3774830565,3.90
3306252784,3306252814,23.54
3306252814,3306252784,23.54
3306252814,283588374,19.72
283588374,3306252814,19.72
3311798747,3311798749,6.71
3311798749,3311798747,6.71
3311798749,5208133663,3.95
5208133663,3311798749,3.95
5208133663,3311798761,4.19
3311798761,5208133663,4.19
3311798761,3774830568,5.44
3774830568,3311798761,5.44
3774830568,5208133662,3.75
5208133662,3774830568,3.75
