# ROAD NETWORK GRAPH - TOKYO
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
# V = 4,968; E = 10,620;
source,target,weight
2401040259,1664033671,7.16
2401040259,7942739606,5.44
7942739606,2401040259,5.44
7942739606,7942739605,32.83
7942739605,7942739606,32.83
7942739605,7942739599,45.48
7942739599,7942739605,45.48
7942739599,7942739536,93.33
7942739536,7942739599,93.33
7942739536,7942739535,27.58
7942739535,7942739536,27.58
472447011,5899162850,9.65
5899162850,472447011,9.65
5899162850,472447012,3.24
472447012,5899162850,3.24
472447012,1665929725,20.02
1665929725,472447012,20.02
1665929725,475368878,49.38
475368878,1665929725,49.38
475368878,472447013,32.18
472447013,475368878,32.18
472447001,3221227620,7.87
3221227620,472447001,7.87
3221227620,475368956,24.88
475368956,3221227620,24.88
475368956,475368787,9.53
475368787,475368956,9.53
475368787,475368785,21.95
475368785,475368787,21.95
475368785,472447014,3.70
472447014,475368785,3.70
472447014,1665929744,20.08
1665929744,472447014,20.08
1665929744,1665929761,24.40
1665929761,1665929744,24.40
1665929761,1665929768,25.80
1665929768,1665929761,25.80
1665929768,475368848,27.17
475368848,1665929768,27.17
475368848,472447015,26.05
472447015,475368848,26.05
1664033746,4717672398,8.34
4717672398,1664033806,70.92
1664033806,472446997,106.88
472447021,2401050129,176.32
2401050129,1664033752,8.06
472447266,472447268,41.70
472447268,472447266,41.70
472447028,3349162185,9.10
3349162185,472447028,9.10
3349162185,472447029,43.71
472447029,3349162185,43.71
472447029,475368773,5.79
475368773,472447029,5.79
475368773,472447027,43.64
472447027,475368773,43.64
472447031,472447029,86.69
472447035,1665978170,64.22
1665978170,7084892424,56.51
7084892424,472446988,27.88
472446988,1665929894,20.34
1665929894,7084892428,0.79
7084892428,2606035809,55.78
2606035809,472446993,2.84
472446993,2606035813,28.03
2606035813,2606035817,32.81
2606035817,2606035818,4.81
2606035818,2649421037,9.09
2649421037,2649421034,24.90
2649421034,4384718910,6.27
4384718910,472446987,6.33
472447214,4717672326,168.54
4717672326,472447214,168.54
4717672326,1664033715,8.40
1664033715,4717672326,8.40
472447209,472447210,27.73
472447210,472447209,27.73
472447210,472447212,6.43
472447212,472447210,6.43
472447212,4717672327,148.32
4717672327,472447212,148.32
4717672327,1664033728,8.06
1664033728,4717672327,8.06
1664033703,4717672325,8.52
4717672325,1664033703,8.52
4717672325,472447217,103.98
472447217,4717672325,103.98
472447218,1664033804,71.39
1664033804,472447218,71.39
1664033804,4717672324,91.17
4717672324,1664033804,91.17
4717672324,1664033695,8.60
1664033695,4717672324,8.60
9775081816,475368798,6.95
475368798,4716623405,5.90
4716623405,1665929924,11.15
1665929924,1665929898,83.04
1665929898,475368804,3.39
475368804,475368797,42.09
475368797,475368820,18.35
475368820,1665929882,8.91
1665929882,475368835,32.06
475368835,475368796,16.12
475368796,475368839,14.92
475368839,475368842,58.21
475368842,475368795,16.88
475368795,475368781,54.82
475368781,475368782,31.05
475368782,475368783,33.20
475368783,475368784,66.10
475368784,475368786,22.78
475368786,4717672354,41.12
4717672354,472447220,4.27
1664033757,4717672400,8.02
4717672400,472447248,174.85
472447249,472447251,21.60
472447251,472447249,21.60
472447251,4717672399,126.18
4717672399,472447251,126.18
4717672399,1664033781,7.86
1664033781,4717672399,7.86
472447265,472447266,63.16
472447266,472447263,52.02
472447263,1665929835,55.71
1665929835,4716623593,1.98
4716623593,1665929846,12.72
472447270,1664033891,16.87
1664033891,472447270,16.87
1664033891,1664033894,17.56
1664033894,1664033891,17.56
1664033894,472447271,11.61
472447271,1664033894,11.61
472447271,1664033901,14.66
1664033901,472447271,14.66
1664033901,472447255,19.37
472447255,1664033901,19.37
472447254,1664033856,127.80
1664033856,472447254,127.80
1664033856,1664033854,19.51
1664033854,1664033856,19.51
472447274,1664033854,20.01
